Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YDR223W	CRF1	S000002631	Q04930
YER174C	GRX4	S000000976	P32642
YGR104C	SRB5	S000003336	P32585
YLR240W	VPS34	S000004230	P22543
YPR062W	FCY1	S000006266	Q12178
YDR402C	DIT2	S000002810	P21595
YLR037C	PAU23	S000004027	Q07987
YMR146C	TIF34	S000004754	P40217
YGR241C	YAP1802	S000003473	P53309
YGL062W	PYC1	S000003030	P11154
YPR057W	BRR1	S000006261	Q99177
YIL012W		S000001274	P40551
YDR156W	RPA14	S000002563	P50106
YJR113C	RSM7	S000003874	P47150
YLR416C		S000004408	Q06695
YPR131C	NAT3	S000006335	Q06504
YLR029C	RPL15A	S000004019	P05748
YMR155W		S000004764	Q03795
YNL180C	RHO5	S000005124	P53879
YGR164W		S000003396	P53291
YOL106W		S000005466	Q08241
YIL140W	AXL2	S000001402	P38928
YIL171W-A		S000028798	P40891
YDR272W	GLO2	S000002680	Q05584
YDR114C		S000002521	Q04597
YOR238W		S000005764	Q08634
YPR077C		S000006281	O13583
YKL142W	MRP8	S000001625	P35719
YLR139C	SLS1	S000004129	P42900
YNR044W	AGA1	S000005327	P32323
YPR009W	SUT2	S000006213	Q12286
YHR032W	ERC1	S000001074	P38767
YDR429C	TIF35	S000002837	Q04067
YGL079W	KXD1	S000003047	P53158
YNR031C	SSK2	S000005314	P53599
YHR084W	STE12	S000001126	P13574
YOR004W	UTP23	S000005530	Q12339
YMR086C-A		S000004691	Q6Q571
YMR233W	TRI1	S000004846	Q05024
YMR244W		S000004858	Q04018
YLL010C	PSR1	S000003933	Q07800
YNL188W	KAR1	S000005132	P11927
YKL156C-A		S000028668	Q8TGN0
YNL104C	LEU4	S000005048	P06208
YIL005W	EPS1	S000001267	P40557
YOR365C		S000005892	Q08844
YNR030W	ALG12	S000005313	P53730
YBR265W	TSC10	S000000469	P38342
Q0055	AI2	S000007262	P03876
YGL131C	SNT2	S000003099	P53127
YDL162C		S000002321	Q12307
YDR246W-A		S000028542	Q3E763
YHR033W		S000001075	P38690
YNR040W		S000005323	P53736
YNR034W	SOL1	S000005317	P50278
YEL076C		S000000802	P39971
YHL046W-A		S000028775	
YDL071C		S000002229	Q07438
YOR173W	DCS2	S000005699	Q12123
YOR337W	TEA1	S000005864	P47988
YGL104C	VPS73	S000003072	P53142
YNL181W		S000005125	P53878
YDR164C	SEC1	S000002571	P30619
YGR243W	MPC3	S000003475	P53311
YOR107W	RGS2	S000005633	Q99188
YDR464W	SPP41	S000002872	P38904
YGR210C		S000003442	P42942
YLR012C		S000004002	Q07927
YOR168W	GLN4	S000005694	P13188
YLR054C	OSW2	S000004044	Q12202
