Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YFL026W	STE2	S000001868	D6VTK4
YFL026W	STE2	S000001868	P0CI39
YDL223C	HBT1	S000002382	Q07653
YLR236C		S000004226	
YGL013C	PDR1	S000002981	P12383
YMR163C	INP2	S000004773	Q03824
YNL166C	BNI5	S000005110	P53890
YHR034C	PIH1	S000001076	P38768
YDR338C		S000002746	Q05497
YFL041W-A		S000028547	Q3E817
YOR008C-A		S000006431	Q3E7B9
YPL135C-A		S000028720	Q8TGK9
YKR095W	MLP1	S000001803	Q02455
YJL077W-B		S000028662	Q8TGT3
YML006C	GIS4	S000004465	Q04233
YGR230W	BNS1	S000003462	P50084
YKR017C	HEL1	S000001725	P36113
YIL066W-A		S000028791	
YCR102W-A		S000007231	Q96VG5
YCR042C	TAF2	S000000638	P23255
YGR032W	GSC2	S000003264	P40989
YDR466W	PKH3	S000002874	Q03306
YDR335W	MSN5	S000002743	P52918
YJR082C	EAF6	S000003842	P47128
YPL054W	LEE1	S000005975	Q02799
YMR282C	AEP2	S000004895	P22136
YGR207C	CIR1	S000003439	P42940
YOR134W	BAG7	S000005660	Q12128
YJL062W-A	COA3	S000007611	Q3E7B2
YOR225W		S000005751	Q12225
YHR131W-A		S000028782	
YOR042W	CUE5	S000005568	Q08412
YGR022C		S000003254	P53213
YDL238C	GUD1	S000002397	Q07729
YCR017C	CWH43	S000000610	P25618
YJL179W	PFD1	S000003715	P46988
YLR150W	STM1	S000004140	P39015
YJR111C		S000003872	P47148
YIR004W	DJP1	S000001443	P40564
YDL037C	BSC1	S000002195	Q12140
YPL150W		S000006071	Q12152
YIR029W	DAL2	S000001468	P25335
YCR088W	ABP1	S000000684	P15891
YOL093W	TRM10	S000005453	Q12400
YJL144W		S000003680	P47009
YIL115C	NUP159	S000001377	P40477
YMR094W	CTF13	S000004700	P35203
YKR032W		S000001740	P36127
YGR174C	CBP4	S000003406	P37267
YBR267W	REI1	S000000471	P38344
Q0297		S000007284	Q9ZZV8
YLR217W		S000004207	O13532
YML107C	PML39	S000004575	Q03760
YIL047C	SYG1	S000001309	P40528
YHR130C		S000001172	P38834
YGL262W		S000003231	P53054
YCL043C	PDI1	S000000548	P17967
YNL117W	MLS1	S000005061	P30952
YFR034C	PHO4	S000001930	P07270
YLR057W	MNL2	S000004047	Q12205
YOL014W		S000005374	Q08110
YDL172C		S000002331	Q12135
YJL141C	YAK1	S000003677	P14680
YGL021W	ALK1	S000002989	P43633
YAL034C-B		S000002137	O13515
YPL066W	RGL1	S000005987	Q12194
YPL056C	LCL1	S000005977	Q02786
YPL180W	TCO89	S000006101	Q08921
YOR216C	RUD3	S000005742	Q12234
YKL193C	SDS22	S000001676	P36047
YLR035C-A		S000007225	
YOR109W	INP53	S000005635	Q12271
YKR090W	PXL1	S000001798	P36166
YCR107W	AAD3	S000000704	P25612
YBR107C	IML3	S000000311	P38265
YDL166C	FAP7	S000002325	Q12055
YOL043C	NTG2	S000005403	Q08214
YOR162C	YRR1	S000005688	Q12172
YHR152W	SPO12	S000001195	P17123
YBR249C	ARO4	S000000453	P32449
YOR288C	MPD1	S000005814	Q12404
YFL041W	FET5	S000001853	P43561
YOR377W	ATF1	S000005904	P40353
YBR041W	FAT1	S000000245	P38225
YBR090C		S000000294	P38253
YNL028W		S000004973	P53967
YGR085C	RPL11B	S000003317	Q3E757
YOR394W	PAU21	S000005921	P0CE85
YOR394W	PAU21	S000005921	P0CE86
YOR394W	PAU21	S000005921	P0CE87
YMR131C	RRB1	S000004738	Q04225
YMR278W	PRM15	S000004891	Q03262
YPR148C		S000006352	Q06523
YMR109W	MYO5	S000004715	Q04439
YNL251C	NRD1	S000005195	P53617
YMR310C		S000004927	Q04867
YBR004C	GPI18	S000000208	P38211
YER104W	RTT105	S000000906	P40063
YNL058C		S000005003	P53947
YOL151W	GRE2	S000005511	Q12068
YLR362W	STE11	S000004354	P23561
YKL032C	IXR1	S000001515	P33417
YMR105C	PGM2	S000004711	P37012
YPL262W	FUM1	S000006183	P08417
YDR519W	FPR2	S000002927	P32472
YIR020C-B		S000028800	Q03888
YDL193W	NUS1	S000002352	Q12063
YLR267W	BOP2	S000004257	Q06150
YDR104C	SPO71	S000002511	Q03868
YKL106C-A		S000007616	Q3E7A0
YBL068W-A		S000028530	P0C5L1
YCR066W	RAD18	S000000662	P10862
YGR216C	GPI1	S000003448	P53306
YBR175W	SWD3	S000000379	P38123
YCR085W		S000000681	P25650
YPL199C		S000006120	Q08954
YLR373C	VID22	S000004365	Q05934
YJR043C	POL32	S000003804	P47110
YPR043W	RPL43A	S000006247	P0CX25
YPR043W	RPL43A	S000006247	P0CX26
YBR221C	PDB1	S000000425	P32473
YOR358W	HAP5	S000005885	Q02516
YDL148C	NOP14	S000002307	Q99207
YEL052W	AFG1	S000000778	P32317
YDR378C	LSM6	S000002786	Q06406
YNL307C	MCK1	S000005251	P21965
YBR296C-A		S000028605	Q8TGU5
YMR295C		S000004910	Q03559
YDR472W	TRS31	S000002880	Q03337
YBR297W	MAL33	S000000501	P38157
YIL142W	CCT2	S000001404	P39076
YML104C	MDM1	S000004572	Q01846
YJR048W	CYC1	S000003809	P00044
YNL199C	GCR2	S000005143	Q01722
YPR004C	AIM45	S000006208	Q12480
YMR043W	MCM1	S000004646	P11746
YGL263W	COS12	S000003232	P53053
YLR466W	YRF1-4	S000004458	O13559
YMR031C	EIS1	S000004633	Q05050
YMR034C		S000004637	Q05131
YGR195W	SKI6	S000003427	P46948
YMR055C	BUB2	S000004659	P26448
YHR216W	IMD2	S000001259	P38697
YGR225W	AMA1	S000003457	P50082
YLR438C-A	LSM3	S000006434	P57743
YER070W	RNR1	S000000872	P21524
YPL260W		S000006181	Q08977
YGR289C	MAL11	S000003521	P53048
YBR014C	GRX7	S000000218	P38068
YOL039W	RPP2A	S000005399	P05319
YPR137C-B		S000007360	Q99337
YPR137C-B		S000007360	P0C2I9
YLR447C	VMA6	S000004439	P32366
YGL014W	PUF4	S000002982	P25339
YGL153W	PEX14	S000003121	P53112
YOL012C	HTZ1	S000005372	Q12692
YPR138C	MEP3	S000006342	P53390
YGR171C	MSM1	S000003403	P22438
YMR217W	GUA1	S000004830	P38625
YGL188C		S000003156	P53098
YKL166C	TPK3	S000001649	P05986
YAL010C	MDM10	S000000008	P18409
YDR078C	SHU2	S000002485	P38957
YDR182W	CDC1	S000002590	P40986
YML074C	FPR3	S000004539	P38911
YJR151W-A		S000028557	
YAL064W		S000000060	P39711
YMR019W	STB4	S000004621	P50104
YGR127W		S000003359	P53275
YNR011C	PRP2	S000005294	P20095
YLL002W	RTT109	S000003925	Q07794
YDR363W-A	SEM1	S000007235	O94742
YLL013C	PUF3	S000003936	Q07807
YBR180W	DTR1	S000000384	P38125
YLR372W	ELO3	S000004364	P40319
YGR227W	DIE2	S000003459	P50076
YJL216C	IMA5	S000003752	P40884
YHL047C	ARN2	S000001039	P38724
YOR037W	CYC2	S000005563	P38909
YJR108W	ABM1	S000003869	P47146
YJL133C-A		S000028805	Q3E7A3
YDR032C	PST2	S000002439	Q12335
YER002W	NOP16	S000000804	P40007
YJL014W	CCT3	S000003551	P39077
YCR033W	SNT1	S000000629	P25357
YER045C	ACA1	S000000847	P39970
YLR364C-A		S000028846	P0C5Q1
YOR126C	IAH1	S000005652	P41734
YOR199W		S000005725	Q08604
YJL047C	RTT101	S000003583	P47050
YDL118W		S000002276	Q07535
YER133W-A		S000028756	
YLR340W	RPP0	S000004332	P05317
YOR169C		S000005695	Q08540
YLR193C	UPS1	S000004183	Q05776
YEL032W	MCM3	S000000758	P24279
YOR108W	LEU9	S000005634	Q12166
YBL016W	FUS3	S000000112	P16892
YER091C-A		S000007238	Q02590
YAR002C-A	ERP1	S000002129	Q05359
YPL179W	PPQ1	S000006100	P32945
YLR464W		S000004456	P0CX16
YLR464W		S000004456	P0CX17
YBR129C	OPY1	S000000333	P38271
YER034W		S000000836	P40022
YML060W	OGG1	S000004525	P53397
YCL001W	RER1	S000000507	P25560
YOL015W	IRC10	S000005375	Q08118
YLR218C	COA4	S000004208	Q05809
YPR047W	MSF1	S000006251	P08425
YOR154W	SLP1	S000005680	Q12232
YKL123W		S000001606	P36071
YPR170W-A		S000028861	P0C5R8
YGL100W	SEH1	S000003068	P53011
YAR064W		S000000089	P39563
YDR388W	RVS167	S000002796	P39743
YDR510C-A		S000028615	Q8TGR7
YLR203C	MSS51	S000004193	P32335
YLR215C	CDC123	S000004205	Q05791
YER187W		S000000989	P40102
YHR066W	SSF1	S000001108	P38789
YFL046W	FMP32	S000001848	P43557
YLR312C		S000004303	Q06159
YOR375C	GDH1	S000005902	P07262
YHR122W	CIA2	S000001164	P38829
YHR088W	RPF1	S000001130	P38805
YDL171C	GLT1	S000002330	Q12680
YEL068C		S000000794	P39977
YPR059C		S000006263	P0C5E1
YPL219W	PCL8	S000006140	Q08966
YPL142C		S000006063	Q08916
YML094W	GIM5	S000004559	Q04493
YML054C	CYB2	S000004518	P00175
YBL061C	SKT5	S000000157	P34226
YOL104C	NDJ1	S000005464	Q12366
YBR224W		S000000428	P38320
YGL169W	SUA5	S000003137	P32579
YCL022C		S000000527	
YER154W	OXA1	S000000956	P39952
YGR109W-A		S000007346	Q12173
YNL273W	TOF1	S000005217	P53840
YOR236W	DFR1	S000005762	P07807
YGR084C	MRP13	S000003316	P12686
YDR343C	HXT6	S000002751	P39003
YFL068W		S000001826	P0CX99
YFL068W		S000001826	P0CY00
YFL068W		S000001826	P0CY01
YNL023C	FAP1	S000004968	P53971
YKR005C		S000001713	Q02203
YGR016W		S000003248	P53209
YNL275W	BOR1	S000005219	P53838
YJL206C		S000003741	P39529
YHR076W	PTC7	S000001118	P38797
YNL052W	COX5A	S000004997	P00424
YKL192C	ACP1	S000001675	P32463
YER143W	DDI1	S000000945	P40087
YIR035C		S000001474	P40579
YPL175W	SPT14	S000006096	P32363
YBR251W	MRPS5	S000000455	P33759
YDL063C	SYO1	S000002221	Q07395
YOR329W-A		S000028585	P0C5R1
YOR071C	NRT1	S000005597	Q08485
YJL166W	QCR8	S000003702	P08525
YGR252W	GCN5	S000003484	Q03330
YCL068C		S000000573	P25593
YNL073W	MSK1	S000005017	P32048
YLR154W-A		S000028675	Q8TGM7
YPR128C	ANT1	S000006332	Q06497
YGL075C	MPS2	S000003043	P53159
YDR339C	FCF1	S000002747	Q05498
YLR435W	TSR2	S000004427	Q06672
YPL095C	EEB1	S000006016	Q02891
YKL162C-A		S000007244	P0C5P4
YJL026W	RNR2	S000003563	P09938
YCL004W	PGS1	S000000510	P25578
YPL038W-A		S000028588	Q3E7B4
YGL074C		S000003042	P53160
YGL170C	SPO74	S000003138	P45819
YJR063W	RPA12	S000003824	P32529
YOR074C	CDC21	S000005600	P06785
YOR278W	HEM4	S000005804	P06174
YIL056W	VHR1	S000001318	P40522
YGL224C	SDT1	S000003192	P53078
YPR073C	LTP1	S000006277	P40347
YDR503C	LPP1	S000002911	Q04396
YOR019W		S000005545	Q99248
YLR108C		S000004098	Q12259
YML080W	DUS1	S000004545	P53759
YBL108W		S000000204	P38161
YLR214W	FRE1	S000004204	P32791
YMR180C	CTL1	S000004792	Q03220
YPL028W	ERG10	S000005949	P41338
YBR198C	TAF5	S000000402	P38129
YBR289W	SNF5	S000000493	P18480
YKR035W-A	DID2	S000006435	P69771
YDL070W	BDF2	S000002228	Q07442
YPL034W		S000005955	Q03083
YFL002W-B		S000007404	P0CX61
YFL002W-B		S000007404	P0CX62
YPL209C	IPL1	S000006130	P38991
YPL174C	NIP100	S000006095	P33420
YCR084C	TUP1	S000000680	P16649
YNL097C-B		S000028699	P0C271
YKL210W	UBA1	S000001693	P22515
YDR508C	GNP1	S000002916	P48813
YDR364C	CDC40	S000002772	P40968
YLR257W		S000004247	Q06146
YDR281C	PHM6	S000002689	Q05637
YOL062C	APM4	S000005423	Q99186
YOR371C	GPB1	S000005898	Q08886
YJL041W	NSP1	S000003577	P14907
YJL126W	NIT2	S000003662	P47016
YOL100W	PKH2	S000005460	Q12236
YER033C	ZRG8	S000000835	P40021
YGR200C	ELP2	S000003432	P42935
YER019C-A	SBH2	S000002127	P52871
YAR069C		S000000092	P0CX92
YAR069C		S000000092	P0CX93
YDL185W	VMA1	S000002344	P17255
YOL122C	SMF1	S000005482	P38925
YLR289W	GUF1	S000004280	P46943
YGL038C	OCH1	S000003006	P31755
YDR261W-B		S000007397	Q07791
YAR031W	PRM9	S000000078	P39551
YDR160W	SSY1	S000002567	Q03770
YMR124W	EPO1	S000004731	P39523
YNR063W		S000005346	P53749
YKR062W	TFA2	S000001770	P36145
YJL052W	TDH1	S000003588	P00360
YHR023W	MYO1	S000001065	P08964
YMR193C-A		S000004805	Q6B0R2
YBL044W		S000000140	P38194
YLR451W	LEU3	S000004443	P08638
YMR326C		S000004945	Q6B0R7
YIR033W	MGA2	S000001472	P40578
Q0115	BI3	S000007272	Q9ZZW7
YGL184C	STR3	S000003152	P53101
YLR145W	RMP1	S000004135	Q12530
YPL182C		S000006103	Q08922
YER136W	GDI1	S000000938	P39958
YMR040W	YET2	S000004643	Q04210
YOL095C	HMI1	S000005455	Q12039
YLR197W	NOP56	S000004187	Q12460
YLR161W		S000004151	P0CE96
YLR161W		S000004151	P0CE98
YLR161W		S000004151	P0CE99
YLR161W		S000004151	P0CE97
YOR142W-B		S000007352	Q92393
YOR344C	TYE7	S000005871	P33122
YPL250W-A		S000028589	P0C5S0
YML081C-A	ATP18	S000007247	P81450
YAL048C	GEM1	S000000046	P39722
YNL339W-A		S000028703	P0CL27
YNL339W-A		S000028703	P0CL28
YNL339W-A		S000028703	P0CL29
YNL339W-A		S000028703	P0CL30
YNL339W-A		S000028703	P0CL31
YMR046C		S000004649	Q04215
YPL035C		S000005956	O13521
YLR011W	LOT6	S000004001	Q07923
YKR033C		S000001741	P36128
YLR351C	NIT3	S000004343	P49954
YDL198C	GGC1	S000002357	P38988
YAL026C	DRS2	S000000024	P39524
YLR068W	FYV7	S000004058	Q12247
YMR279C		S000004892	Q03263
YPL185W		S000006106	Q08927
YPR033C	HTS1	S000006237	P07263
YML130C	ERO1	S000004599	Q03103
Q0075	AI5_BETA	S000007266	Q9ZZX0
YJL117W	PHO86	S000003653	P46956
YJR087W		S000003847	P47132
YDR003W	RCR2	S000002410	Q03446
YMR162C	DNF3	S000004772	Q12674
YDR019C	GCV1	S000002426	P48015
YDR421W	ARO80	S000002829	Q04052
YOR110W	TFC7	S000005636	Q12415
YDR312W	SSF2	S000002720	Q12153
YNL084C	END3	S000005028	P39013
YOR043W	WHI2	S000005569	P12611
YDR050C	TPI1	S000002457	P00942
YOR072W		S000005598	Q08486
YOR117W	RPT5	S000005643	P33297
YDR064W	RPS13	S000002471	P05756
YKL043W	PHD1	S000001526	P36093
YLR195C	NMT1	S000004185	P14743
YML068W	ITT1	S000004533	Q04638
YDR315C	IPK1	S000002723	Q06667
YFR014C	CMK1	S000001910	P27466
YCL002C		S000000508	P25565
YFR004W	RPN11	S000001900	P43588
YOR120W	GCY1	S000005646	P14065
YDL054C	MCH1	S000002212	Q07376
YPL133C	RDS2	S000006054	P19541
YPR081C	GRS2	S000006285	Q06817
YBR064W		S000000268	P38240
YGR054W		S000003286	P53235
YKL071W		S000001554	P36086
YHR143W	DSE2	S000001186	P38844
YNR001W-A		S000007625	P0C5Q7
YOR044W	IRC23	S000005570	Q08416
YFL013W-A		S000028628	Q03187
YFL056C	AAD6	S000001838	P43547
YKR034W	DAL80	S000001742	P26343
YGL166W	CUP2	S000003134	P15315
YDR027C	VPS54	S000002434	Q12071
YHR035W	NEL1	S000001077	P38769
YLR140W		S000004130	Q12077
YGR083C	GCD2	S000003315	P12754
YGL001C	ERG26	S000002969	P53199
YOL022C	TSR4	S000005382	P25040
YLL067W-A		S000028673	P0CX99
YLL067W-A		S000028673	P0CY00
YLL067W-A		S000028673	P0CY01
YGL090W	LIF1	S000003058	P53150
YCR013C		S000000606	P25614
YAL004W		S000002136	P39703
YJR049C	UTR1	S000003810	P21373
YNL229C	URE2	S000005173	P23202
YJR071W		S000003832	P47121
YDL234C	GYP7	S000002393	P48365
YLR094C	GIS3	S000004084	Q12418
YML118W	NGL3	S000004587	Q03210
YHL001W	RPL14B	S000000993	P38754
YKL147C		S000001630	P36061
YDR368W	YPR1	S000002776	Q12458
YGL188C-A		S000028635	Q8TGU1
YOR378W	AMF1	S000005905	Q08902
YPR014C		S000006218	Q6B0W2
YJL011C	RPC17	S000003548	P47076
YKL177W		S000001660	P34238
YOR221C	MCT1	S000005747	Q12283
YKL069W		S000001552	P36088
YAR007C	RFA1	S000000065	P22336
YGR001C	AML1	S000003233	P53200
YLR208W	SEC13	S000004198	Q04491
YBR022W	POA1	S000000226	P38218
YOR320C	GNT1	S000005847	Q12096
YGR288W	MAL13	S000003520	P53338
YDL239C	ADY3	S000002398	Q07732
YML078W	CPR3	S000004543	P25719
YOR385W		S000005912	Q08909
YPR099C		S000006303	O13548
YDR128W	MTC5	S000002535	Q03897
YDR326C	YSP2	S000002734	Q06681
YLR330W	CHS5	S000004322	Q12114
YML085C	TUB1	S000004550	P09733
YER080W	AIM9	S000000882	P40053
YHR179W	OYE2	S000001222	Q03558
YMR117C	SPC24	S000004723	Q04477
YNL272C	SEC2	S000005216	P17065
YOR381W-A		S000028587	Q3E804
YPR175W	DPB2	S000006379	P24482
YJR038C		S000003799	P47106
YBL074C	AAR2	S000000170	P32357
YOR116C	RPO31	S000005642	P04051
YKL093W	MBR1	S000001576	P23493
YDR136C	VPS61	S000002543	Q03913
YML088W	UFO1	S000004553	Q04511
YIL106W	MOB1	S000001368	P40484
YPR197C		S000006401	
YDR059C	UBC5	S000002466	P15732
YER008C	SEC3	S000000810	P33332
YLR227C	ADY4	S000004217	Q05955
YOL124C	TRM11	S000005484	Q12463
YNR041C	COQ2	S000005324	P32378
YJL052C-A		S000007610	Q3E837
YOR247W	SRL1	S000005773	Q08673
YIL110W	HPM1	S000001372	P40481
YKL110C	KTI12	S000001593	P34253
Q0182		S000007280	Q9ZZW1
YHL015W-A		S000028828	Q3E7Z6
YOL164W	BDS1	S000005524	Q08347
YML102W	CAC2	S000004570	Q04199
YLR272C	YCS4	S000004262	Q06156
YGR213C	RTA1	S000003445	P53047
YEL070W	DSF1	S000000796	P0CX08
YEL070W	DSF1	S000000796	P0CX09
YGR071C	ENV11	S000003303	P53246
YER176W	ECM32	S000000978	P32644
YPL220W	RPL1A	S000006141	P0CX43
YPL220W	RPL1A	S000006141	P0CX44
YPL159C	PET20	S000006080	Q99373
YPR068C	HOS1	S000006272	Q12214
YDL115C	IWR1	S000002273	Q07532
YER167W	BCK2	S000000969	P33306
YGL256W	ADH4	S000003225	P10127
YMR147W		S000004755	P40218
YDL189W	RBS1	S000002348	Q05672
YPL231W	FAS2	S000006152	P19097
YPR045C	THP3	S000006249	Q12049
YHR201C	PPX1	S000001244	P38698
YBL079W	NUP170	S000000175	P38181
YLL045C	RPL8B	S000003968	P29453
YJR058C	APS2	S000003819	Q00381
YNL048W	ALG11	S000004993	P53954
YDL045C	FAD1	S000002203	P38913
YKL099C	UTP11	S000001582	P34247
YOL133W	HRT1	S000005493	Q08273
YDR460W	TFB3	S000002868	Q03290
YDR087C	RRP1	S000002494	P35178
YPR006C	ICL2	S000006210	Q12031
YJR143C	PMT4	S000003904	P46971
YMR001C-A		S000028691	Q8TGS9
YHR124W	NDT80	S000001166	P38830
YPL210C	SRP72	S000006131	P38688
YHL025W	SNF6	S000001017	P18888
YGR130C		S000003362	P53278
YBL060W	YEL1	S000000156	P34225
YOR161C	PNS1	S000005687	Q12412
YER103W	SSA4	S000000905	P22202
YCR067C	SED4	S000000663	P25365
YER093C	TSC11	S000000895	P40061
YGR056W	RSC1	S000003288	P53236
YOL135C	MED7	S000005495	Q08278
YGR131W	FHN1	S000003363	P53279
YGL007C-A		S000028632	Q8TGU0
YLR260W	LCB5	S000004250	Q06147
YOR128C	ADE2	S000005654	P21264
YJR065C	ARP3	S000003826	P47117
YGL020C	GET1	S000002988	P53192
YLR222C-A		S000028568	P0C5P7
YOR086C	TCB1	S000005612	Q12466
YJL209W	CBP1	S000003745	P07252
YDR235W	PRP42	S000002643	Q03776
YMR173W-A		S000004785	
YLR413W	INA1	S000004405	Q06689
YOR353C	SOG2	S000005880	Q08817
YNL237W	YTP1	S000005181	P53584
YBR087W	RFC5	S000000291	P38251
YKL213C	DOA1	S000001696	P36037
YLR429W	CRN1	S000004421	Q06440
YJR157W		S000003918	P47184
YKR098C	UBP11	S000001806	P36026
YKL160W	ELF1	S000001643	P36053
YGL242C		S000003211	P53066
YDR539W	FDC1	S000002947	Q03034
YBR298C-A		S000028606	Q8TGK4
YHR001W	OSH7	S000001043	P38755
YMR118C	SHH3	S000004724	Q04487
YPR120C	CLB5	S000006324	P30283
YPR143W	RRP15	S000006347	Q06511
YBR009C	HHF1	S000000213	P02309
YKL218C	SRY1	S000001701	P36007
YJR112W	NNF1	S000003873	P47149
YOR028C	CIN5	S000005554	P40917
YDL123W	SNA4	S000002281	Q07549
YBL065W		S000000161	P38188
YBR048W	RPS11B	S000000252	P0CX47
YBR048W	RPS11B	S000000252	P0CX48
YGL236C	MTO1	S000003205	P53070
YBR294W	SUL1	S000000498	P38359
YLR407W		S000004399	Q06070
YIL068W-A		S000028792	
YLR154C	RNH203	S000004144	Q12338
YGR269W		S000003501	P40326
YBR174C		S000000378	P38294
YDR277C	MTH1	S000002685	P35198
YDL053C	PBP4	S000002211	Q07362
YLR271W		S000004261	Q06152
YNL169C	PSD1	S000005113	P39006
YNL249C	MPA43	S000005193	P53583
YKL063C		S000001546	P35725
YDR367W	KEI1	S000002775	Q06346
YKL066W		S000001549	P36089
YIL152W		S000001414	P40455
YDR446W	ECM11	S000002854	Q04110
YLR157C-B		S000007374	P0C2I5
YJL069C	UTP18	S000003605	P40362
YGL054C	ERV14	S000003022	P53173
YJL184W	GON7	S000003720	P46984
YLR405W	DUS4	S000004397	Q06063
YDR530C	APA2	S000002938	P22108
YMR171C	EAR1	S000004781	Q03212
YPR115W	RGC1	S000006319	Q06108
YKR058W	GLG1	S000001766	P36143
YKR037C	SPC34	S000001745	P36131
YLR295C	ATP14	S000004286	Q12349
YJL094C	KHA1	S000003630	P40309
YKL141W	SDH3	S000001624	P33421
YEL026W	SNU13	S000000752	P39990
YNL072W	RNH201	S000005016	P53942
YAL023C	PMT2	S000000021	P31382
YAL025C	MAK16	S000000023	P10962
YDL107W	MSS2	S000002265	P40990
YNL214W	PEX17	S000005158	P40155
YGL076C	RPL7A	S000003044	P05737
YER157W	COG3	S000000959	P40094
YNL223W	ATG4	S000005167	P53867
YLR410W-A		S000007379	P0C2J2
YLR410W-A		S000007379	P0C2J4
YIL100W		S000001362	P40490
YLR466C-A		S000028685	P0CL37
YLR466C-A		S000028685	P0CL38
YLR466C-A		S000028685	P0CL39
YLR466C-A		S000028685	P0CL40
YAL058W	CNE1	S000000054	P27825
YMR322C	SNO4	S000004941	Q04902
YJR153W	PGU1	S000003914	P47180
YML067C	ERV41	S000004532	Q04651
YPL173W	MRPL40	S000006094	P36534
YKL152C	GPM1	S000001635	P00950
YOL112W	MSB4	S000005472	Q12317
YDR464C-A		S000028614	Q8TGP5
YGL119W	COQ8	S000003087	P27697
YNL236W	SIN4	S000005180	P32259
YGR132C	PHB1	S000003364	P40961
YEL003W	GIM4	S000000729	P40005
YKR019C	IRS4	S000001727	P36115
YBR047W	FMP23	S000000251	P38231
YHR193C-A		S000028785	
YHR007C	ERG11	S000001049	P10614
YFR009W	GCN20	S000001905	P43535
YFR038W	IRC5	S000001934	P43610
YKL009W	MRT4	S000001492	P33201
YMR044W	IOC4	S000004647	Q04213
YLR157W-D		S000028677	P0CE99
YJR121W	ATP2	S000003882	P00830
YAR015W	ADE1	S000000070	P27616
YLL030C	RRT7	S000003953	Q07829
YHR072W-A	NOP10	S000007455	Q6Q547
YDR337W	MRPS28	S000002745	P21771
YGL041C		S000003009	
YGR140W	CBF2	S000003372	P32504
YMR134W	ERG29	S000004741	P40207
YNL132W	KRE33	S000005076	P53914
YPL216W		S000006137	Q08964
YOR062C		S000005588	P36025
YNL149C	PGA2	S000005093	P53903
YDR158W	HOM2	S000002565	P13663
YBR296C	PHO89	S000000500	P38361
YLR159W		S000004149	P0CE96
YLR159W		S000004149	P0CE98
YLR159W		S000004149	P0CE99
YLR159W		S000004149	P0CE97
YGR033C	TIM21	S000003265	P53220
YOR339C	UBC11	S000005866	P52492
YML059C	NTE1	S000004524	Q04958
YML022W	APT1	S000004484	P49435
YLR086W	SMC4	S000004076	Q12267
YLR199C	PBA1	S000004189	Q05778
YPL234C	VMA11	S000006155	P32842
YFL001W	DEG1	S000001895	P31115
YMR021C	MAC1	S000004623	P35192
YJR014W	TMA22	S000003775	P47089
YBL034C	STU1	S000000130	P38198
YCR037C	PHO87	S000000633	P25360
YKR039W	GAP1	S000001747	P19145
YDR525W	API2	S000002933	Q04413
YIR007W		S000001446	P40566
YDL050C		S000002208	Q07355
YOR032W-A		S000028710	Q8TGS1
YNL171C		S000005115	P53887
YDR003W-A		S000028819	Q3E7Z7
YKL079W	SMY1	S000001562	P32364
YGR038C-B		S000007408	Q12269
YLL015W	BPT1	S000003938	P14772
YBR176W	ECM31	S000000380	P38122
YKL150W	MCR1	S000001633	P36060
YPR076W		S000006280	O13582
YDL160C-A	MHF2	S000028520	Q3E829
YDR227W	SIR4	S000002635	P11978
YDL086C-A		S000028611	Q8TGP8
YDR187C		S000002595	
YDR336W		S000002744	Q05473
YDR086C	SSS1	S000002493	P35179
YDL142C	CRD1	S000002301	Q07560
YNL159C	ASI2	S000005103	P53895
YBR255W	MTC4	S000000459	P38335
YKL172W	EBP2	S000001655	P36049
YER150W	SPI1	S000000952	P40092
YMR057C		S000004661	Q04674
YDR327W		S000002735	P87288
YFL047W	RGD2	S000001847	P43556
YKR003W	OSH6	S000001711	Q02201
YKL067W	YNK1	S000001550	P36010
YPL071C		S000005992	Q02864
YML098W	TAF13	S000004564	P11747
YDR002W	YRB1	S000002409	P41920
YPL081W	RPS9A	S000006002	O13516
YIR037W	HYR1	S000001476	P40581
YDR105C	TMS1	S000002512	Q12116
YLR050C		S000004040	Q12155
YMR023C	MSS1	S000004625	P32559
YPR193C	HPA2	S000006397	Q06592
YGL056C	SDS23	S000003024	P53172
YBR071W		S000000275	P38243
YDR011W	SNQ2	S000002418	P32568
YML043C	RRN11	S000004507	Q04712
YKL185W	ASH1	S000001668	P34233
YML001W	YPT7	S000004460	P32939
YOR314W-A		S000007629	P0C5R0
YDL061C	RPS29B	S000002219	P41058
YBR078W	ECM33	S000000282	P38248
YDL083C	RPS16B	S000002241	P0CX51
YDL083C	RPS16B	S000002241	P0CX52
YLR338W	OPI9	S000004330	O94084
YHL050C		S000001042	P38721
YLR220W	CCC1	S000004210	P47818
YOR073W	SGO1	S000005599	Q08490
YPL023C	MET12	S000005944	P46151
YDR026C	NSI1	S000002433	Q12457
YDR261C	EXG2	S000002669	P52911
YMR149W	SWP1	S000004757	Q02795
YCL061C	MRC1	S000000566	P25588
YFL022C	FRS2	S000001872	P15625
YAL007C	ERP2	S000000005	P39704
YIL033C	BCY1	S000001295	P07278
YIL001W		S000001263	P40560
YOR167C	RPS28A	S000005693	Q3E7X9
YDL027C		S000002185	Q07349
YGL192W	IME4	S000003160	P41833
YOR100C	CRC1	S000005626	Q12289
YDR288W	NSE3	S000002696	Q05541
YIR005W	IST3	S000001444	P40565
YIR036C	IRC24	S000001475	P40580
YNL204C	SPS18	S000005148	P32572
YBL107C	MIX23	S000000203	P38162
YBL048W	RRT1	S000000144	P38192
YKR103W	NFT1	S000001811	P0CE68
